Mine No,CMRR,bolt_length(ft),bolt_tension,bolt_grout,bolt_capacity ,bolts_p_row ,row_spacing,entry_width,PRSUP,intersection_diagonal,depth_of_ cover,mining_hight,drivage_10k_feet,no_of_3_way,no_of_4_way,no_of_segment,falls_3w, falls_4way,segment_fall,roof_fall_rate,fall
18,42,6,1,2,37,4,4,20,11.1,62,500,6.5,4.5,47,130,330.5,1,2,2,1.11,1
19,40,4,0,3,17.7,4,4,18,3.93,63,350,7,4.45,93,236,611.5,3,6,6,3.37,1
19,40,4,0,3,17.7,4,6,18,2.62,63,350,7,0.96,24,60,156,3,4,3,10.42,1
19,50,6,0,3,17.7,4,4,18,5.9,63,350,7,1.28,32,80,208,0,0,0,0,0
19,50,5,0,3,17.7,4,4,18,4.92,63,350,7,0.64,16,40,104,0,0,0,0,0
19,75,2.5,1,1,17.7,4,4,18,2.46,63,350,7,3.74,96,234,612,0,0,0,0,0
20,40,8,1,2,33,4,4,18,14.67,65,600,7.5,17.2,340,820,2150,9,43,32,4.88,1
21,63,6,0,3,26.5,4,4,18,8.83,69,500,7.5,0.17,21,74,0,0,1,0,5.88,1
21,63,4,0,3,26.5,4,4,18,5.89,69,500,7.5,0.9,0,0,179,0,0,1,1.11,1
21,45,6,0,3,26.5,4,4,18,8.83,69,500,7.5,0.28,62,96,0,0,5,0,17.86,1
21,45,4,0,3,26.5,4,4,18,5.89,69,500,7.5,1.43,0,0,285,0,0,5,3.51,1
21,28,4,0,3,26.5,4,4,18,5.89,69,500,7.5,2.76,0,0,552,0,0,5,1.81,1
21,28,6,0,3,26.5,4,4,18,8.83,69,500,7.5,0.52,59,232,0,0,9,0,17.18,1
21,39,4,0,3,26.5,4,4,18,5.89,69,500,7.5,6.13,0,0,1225,0,0,1,0.16,1
21,39,6,0,3,26.5,4,4,18,8.83,69,500,7.5,1.14,93,543,0,0,1,0,0.87,1
21,76,4,0,3,26.5,4,4,18,5.89,69,500,7.5,8.15,0,0,16292,0,0,4,0.49,1
21,76,6,0,3,26.5,4,4,18,8.83,69,500,7.5,15.26,1340,7141,0,1,10,0,0.72,1
22,40,6,0,3,17.7,4,4,18,5.9,63,400,7,3.02,75,185,482.5,0,0,0,0,0
22,40,6,1,2,17.7,4,4,18,5.9,63,400,7,1,24,60,156,0,0,0,0,0
22,40,6,1,1,17.7,4,4,18,5.9,63,400,7,1.1,25,65,167.5,0,3,0,2.73,1
23,50,6,0,3,17.7,4,4,18,5.9,63,400,7,1.28,30,75,195,0,0,0,0,0
23,40,6,1,2,17.7,4,4,18,5.9,63,400,7,0.76,18,45,117,0,0,0,0,0
24,42,6,1,2,33,4,5,19,8.34,61,650,6,73.2,1967,2825,8600.5,5,34,0,0.76,1
24,42,4,1,2,45,4,5,19,7.58,61,650,6,1.04,23,47,128.5,2,11,6,18.27,1
25,66,4,0,3,26.5,4,4,20,4.71,74.6,1100,7.1,17.9,346,777,2073,0,0,0,0,0
26,55,6,0,3,26,4,4,20,7.8,73.5,500,10,2.02,48,72,216,0,0,0,0,0
26,30,6,0,3,26,4,4,20,7.8,73.5,500,10,0.76,18,27,81,3,5,0,10.53,1
27,50,6,0,3,18.4,4,4,20,5.52,60,300,6,0.94,80,48,168,0,0,3,3.19,1
27,50,6,0,3,18.4,4,4,16,6.9,50,300,6,4.94,254,221,871,0,0,2,0.4,0
27,50,6,1,3,26.5,4,4,20,7.95,60,300,6,0.1,26,3,42,0,0,2,20,1
27,50,6,1,3,26.5,4,4,16,9.94,50,300,6,0.24,40,19,101,3,1,0,16.67,1
27,50,4,1,2,26.5,4,4,20,5.3,60,300,6,0.04,2,4,11,0,0,0,0,0
27,50,4,1,2,26.5,4,4,16,6.63,50,300,6,0.22,13,15,49.5,0,1,2.5,15.91,1
28,50,6,0,3,26.5,4,4,22,7.23,78.4,1000,5,14.3,396,736,1914,12,24,14,3.5,1
29,35,6,0,3,18,4,4,18,6,64,200,7.5,2.9,39,227,512.5,0,0,0,0,0
29,35,6,1,2,18,4,4,18,6,64,200,7.5,0.98,11,52,120.5,0,0,0,0,0
29,35,4,0,3,18,4,4,18,4,64,200,7.5,0.51,9,52,117.5,0,0,0,0,0
30,52,4,0,3,17.7,4,4,18,3.93,63,400,7,8.2,179,516,1300.5,0,21,5,3.17,1
30,40,4,0,3,17.7,4,4,18,3.93,63,400,7,5.3,117,216,607.5,12,4,10,4.91,1
30,75,2.5,1,1,17.7,4,4,18,2.46,63,400,7,0.61,27,73,186.5,0,0,0,0,0
31,32,6,0,3,26,4,4,18,8.67,54,300,10,13.5,526,429,1647,4,1,4,0.67,1
31,32,6,0,3,26,4,4,18,8.67,54,800,10,2.5,62,93,279,1,1,3,2,1
32,51,3.5,0,3,18.5,4,4,20,3.24,66,500,3.5,11.8,261,763,1917.5,0,0,0,0,0
33,30,5,1,2,37,4,4.5,18,9.14,56,300,6,3.22,64,258,612,0,8,1,2.8,1
33,30,6,0,3,20.5,4,4.5,18,6.07,57,300,6,12.5,236,873,2100,4,21,25,4,1
34,44,3.5,0,3,20,4,4,20,3.5,68,250,3.5,6.4,296,506,1456,0,4,6,1.56,1
35,47,3,0,3,26.5,4,4,20,3.98,61.7,300,3,7.9,275,701,1814.5,0,0,0,0,0
35,47,3,0,3,26.5,4,4,22,3.98,66.3,300,3,1.2,0,201,402,0,0,0,0,0
35,47,3,0,3,26.5,4,4,20,3.98,61.7,500,3,3.9,144,402,1020,0,0,0,0,0
35,47,3,0,3,26.5,4,4,20,3.98,66.3,500,3,0.66,0,127,254,0,11,10,31.82,1
35,47,4,0,3,26.5,4,4,20,5.3,62.9,500,3,2.8,74,153,417,0,0,0,0,0
35,47,4,0,3,26.5,4,4,20,5.3,67.2,500,3,0.3,0,43,86,0,0,0,0,0
36,49,3.5,0,3,26.5,4,4,20,4.64,63,150,3,1,41,72,205.5,0,0,0,0,0
36,49,3.5,0,3,26.5,4,4,20,4.64,57,150,3,0.1,0,19,38,0,0,0,0,0
36,49,3,0,3,26.5,4,4,20,3.98,57,200,3,0.1,0,16,32,0,0,0,0,0
36,49,3,0,3,26.5,4,4,20,3.98,63,200,3,0.8,23,43,120.5,0,0,0,0,0
37,60,4,0,3,18.6,4,4,16,4.65,60,400,4.3,17.4,216,1215,2754,0,0,1,0.06,1
37,39,6,0,3,18.6,4,4,16,6.98,60,400,4.3,5.5,81,294,709.5,0,1,1,0.36,1
37,40,5,0,3,18.6,4,4,16,5.81,60,400,4.3,16.8,186,1601,3481,3,16,11,1.79,1
